,Date,NIFTY PSU BANK
1975,2016-01-08,2645.8
1976,2016-01-11,2591.35
1977,2016-01-12,2520.65
1978,2016-01-13,2512.65
1979,2016-01-14,2455.8
1980,2016-01-15,2312.9
1981,2016-01-18,2274.45
1982,2016-01-19,2298.95
1983,2016-01-20,2193.0
1984,2016-01-21,2227.0
1985,2016-01-22,2339.1
1986,2016-01-25,2317.7
1987,2016-01-27,2347.35
1988,2016-01-28,2343.9
1989,2016-01-29,2292.6
1990,2016-02-01,2214.85
1991,2016-02-02,2182.45
1992,2016-02-03,2141.3
1993,2016-02-04,2124.3
1994,2016-02-05,2201.4
1995,2016-02-08,2247.65
1996,2016-02-09,2165.35
1997,2016-02-10,2048.8
1998,2016-02-11,1983.9
1999,2016-02-12,1968.0
2000,2016-02-15,2156.35
2001,2016-02-16,2023.4
2002,2016-02-17,2064.8
2003,2016-02-18,2072.8
2004,2016-02-19,2126.25
2005,2016-02-22,2124.35
2006,2016-02-23,2045.55
2007,2016-02-24,2031.2
2008,2016-02-25,1983.8
2009,2016-02-26,2020.65
2010,2016-02-29,2037.1
2011,2016-03-01,2090.5
2012,2016-03-02,2297.5
2013,2016-03-03,2312.9
2014,2016-03-04,2388.75
2015,2016-03-08,2327.4
2016,2016-03-09,2334.7
2017,2016-03-10,2295.9
2018,2016-03-11,2294.4
2019,2016-03-14,2311.4
2020,2016-03-15,2349.3
2021,2016-03-16,2348.95
2022,2016-03-17,2356.5
2023,2016-03-18,2408.8
2024,2016-03-21,2473.55
2025,2016-03-22,2472.6
2026,2016-03-23,2454.65
2027,2016-03-28,2359.7
2028,2016-03-29,2371.95
2029,2016-03-30,2470.5
2030,2016-03-31,2448.95
2031,2016-04-01,2500.5
2032,2016-04-04,2483.3
2033,2016-04-05,2355.8
2034,2016-04-06,2342.2
2035,2016-04-07,2320.8
2036,2016-04-08,2331.85
2037,2016-04-11,2400.75
2038,2016-04-12,2398.75
2039,2016-04-13,2447.55
2040,2016-04-18,2388.85
2041,2016-04-20,2414.4
2042,2016-04-21,2500.9
2043,2016-04-22,2563.4
2044,2016-04-25,2519.55
2045,2016-04-26,2566.45
2046,2016-04-27,2525.4
2047,2016-04-28,2482.7
2048,2016-04-29,2444.05
2049,2016-05-02,2403.4
2050,2016-05-03,2371.9
2051,2016-05-04,2312.15
2052,2016-05-05,2314.1
2053,2016-05-06,2352.5
2054,2016-05-09,2412.5
2055,2016-05-10,2422.85
2056,2016-05-11,2370.4
2057,2016-05-12,2399.55
2058,2016-05-13,2353.65
2059,2016-05-16,2241.2
2060,2016-05-17,2243.5
2061,2016-05-18,2281.35
2062,2016-05-19,2195.65
2063,2016-05-20,2174.95
2064,2016-05-23,2138.9
2065,2016-05-24,2140.4
2066,2016-05-25,2208.45
2067,2016-05-26,2289.35
2068,2016-05-27,2399.85
2069,2016-05-30,2424.35
2070,2016-05-31,2494.75
2071,2016-06-01,2415.5
2072,2016-06-02,2446.05
2073,2016-06-03,2398.1
2074,2016-06-06,2430.45
2075,2016-06-07,2529.5
2076,2016-06-08,2553.3
2077,2016-06-09,2558.15
2078,2016-06-10,2519.35
2079,2016-06-13,2478.75
2080,2016-06-14,2557.05
2081,2016-06-15,2633.5
2082,2016-06-16,2648.1
2083,2016-06-17,2633.7
2084,2016-06-20,2665.9
2085,2016-06-21,2645.5
2086,2016-06-22,2632.45
2087,2016-06-23,2685.6
2088,2016-06-24,2619.0
2089,2016-06-27,2693.1
2090,2016-06-28,2693.2
2091,2016-06-29,2705.05
2092,2016-06-30,2725.0
2093,2016-07-01,2742.5
2094,2016-07-04,2811.95
2095,2016-07-05,2822.95
2096,2016-07-07,2796.05
2097,2016-07-08,2769.8
2098,2016-07-11,2876.5
2099,2016-07-12,2886.7
2100,2016-07-13,2882.05
2101,2016-07-14,2958.05
2102,2016-07-15,2955.4
2103,2016-07-18,2900.25
2104,2016-07-19,2907.8
2105,2016-07-20,2913.95
2106,2016-07-21,2832.05
2107,2016-07-22,2797.25
2108,2016-07-25,2897.95
2109,2016-07-26,2864.9
2110,2016-07-27,2894.75
2111,2016-07-28,2896.2
2112,2016-07-29,2862.9
2113,2016-08-01,2824.6
2114,2016-08-02,2844.85
2115,2016-08-03,2824.3
2116,2016-08-04,2843.95
2117,2016-08-05,2914.9
2118,2016-08-08,2905.35
2119,2016-08-09,2926.4
2120,2016-08-10,2878.2
2121,2016-08-11,2796.95
2122,2016-08-12,2960.7
2123,2016-08-16,2984.4
2124,2016-08-17,2995.5
2125,2016-08-18,3028.6
2126,2016-08-19,3135.65
2127,2016-08-22,3100.4
2128,2016-08-23,3112.7
2129,2016-08-24,3109.0
2130,2016-08-25,3069.75
2131,2016-08-26,3018.9
2132,2016-08-29,3045.45
2133,2016-08-30,3109.3
2134,2016-08-31,3110.4
2135,2016-09-01,3086.8
2136,2016-09-02,3129.05
2137,2016-09-06,3202.0
2138,2016-09-07,3298.55
2139,2016-09-08,3323.35
2140,2016-09-09,3287.95
2141,2016-09-12,3132.0
2142,2016-09-14,3213.4
2143,2016-09-15,3182.9
2144,2016-09-16,3154.45
2145,2016-09-19,3173.55
2146,2016-09-20,3161.3
2147,2016-09-21,3123.25
2148,2016-09-22,3212.1
2149,2016-09-23,3176.0
2150,2016-09-26,3143.2
2151,2016-09-27,3111.6
2152,2016-09-28,3187.85
2153,2016-09-29,3067.0
2154,2016-09-30,3129.65
2155,2016-10-03,3187.7
2156,2016-10-04,3245.5
2157,2016-10-05,3251.5
2158,2016-10-06,3192.85
2159,2016-10-07,3211.2
2160,2016-10-10,3185.45
2161,2016-10-13,3081.0
