,Date,NIFTY REALTY
186,2008-09-30,459.68
187,2008-10-01,448.91
188,2008-10-03,435.81
189,2008-10-06,391.39
190,2008-10-07,382.18
191,2008-10-08,368.27
192,2008-10-10,324.26
193,2008-10-13,357.89
194,2008-10-14,366.15
195,2008-10-15,347.99
196,2008-10-16,367.12
197,2008-10-17,330.13
198,2008-10-20,317.68
199,2008-10-21,348.63
200,2008-10-22,321.75
201,2008-10-23,304.92
202,2008-10-24,232.63
203,2008-10-27,243.05
204,2008-10-28,264.83
205,2008-10-29,259.83
206,2008-10-31,262.78
207,2008-11-03,282.11
208,2008-11-04,315.26
209,2008-11-05,297.54
210,2008-11-06,299.43
211,2008-11-07,306.99
212,2008-11-10,322.93
213,2008-11-11,288.87
214,2008-11-12,266.99
215,2008-11-14,262.36
216,2008-11-17,248.51
217,2008-11-18,238.86
218,2008-11-19,238.08
219,2008-11-20,216.8
220,2008-11-21,213.37
221,2008-11-24,205.36
222,2008-11-25,198.57
223,2008-11-26,203.21
224,2008-11-28,200.19
225,2008-12-01,190.38
226,2008-12-02,194.48
227,2008-12-03,201.4
228,2008-12-04,227.74
229,2008-12-05,219.4
230,2008-12-08,231.22
231,2008-12-10,260.76
232,2008-12-11,266.58
233,2008-12-12,277.79
234,2008-12-15,294.67
235,2008-12-16,302.35
236,2008-12-17,280.71
